id	case	support	answer	question	distractor1	distractor2	distractor3		Does the question make sense wrt the given context?	Does the answer belong to the question?	Are the distractors plausible?
3	answer_given	10.2 Biotechnology in Medicine and Agriculture Genetic testing is performed to identify disease-causing genes, and can be used to benefit affected individuals and their relatives who have not developed disease symptoms yet. Gene therapy—by which functioning genes are incorporated into the genomes of individuals with a non-functioning mutant gene—has the potential to cure heritable diseases. Transgenic organisms possess DNA from a different species, usually generated by molecular cloning techniques. Vaccines, antibiotics, and hormones are examples of products obtained by recombinant DNA technology. Transgenic animals have been created for experimental purposes and some are used to produce some human proteins. Genes are inserted into plants, using plasmids in the bacterium Agrobacterium tumefaciens, which infects plants. Transgenic plants have been created to improve the characteristics of crop plants—for example, by giving them insect resistance by inserting a gene for a bacterial toxin.	dna	Transgenic animals have been created for experimental purposes and some are used to produce some human proteins. genes are inserted into plants, using plasmids in the bacterium agrobacterium tumefaciens, which infects plants. transgenics have been created to improve the characteristics of crop plants—for example, by giving them insect resistance by inserting a gene for a bacterial toxin. what is this?	dna	bacteria	virus		2	2	2
3	no_answer	10.2 Biotechnology in Medicine and Agriculture Genetic testing is performed to identify disease-causing genes, and can be used to benefit affected individuals and their relatives who have not developed disease symptoms yet. Gene therapy—by which functioning genes are incorporated into the genomes of individuals with a non-functioning mutant gene—has the potential to cure heritable diseases. Transgenic organisms possess DNA from a different species, usually generated by molecular cloning techniques. Vaccines, antibiotics, and hormones are examples of products obtained by recombinant DNA technology. Transgenic animals have been created for experimental purposes and some are used to produce some human proteins. Genes are inserted into plants, using plasmids in the bacterium Agrobacterium tumefaciens, which infects plants. Transgenic plants have been created to improve the characteristics of crop plants—for example, by giving them insect resistance by inserting a gene for a bacterial toxin.	gene therapy	What is the process of incorporating functioning genes into the genomes of individuals with a non-functioning mutant gene?	gene cloning	gene mutation	gene mutation		3	3	3
4	ground_truth	Modern taxonomists have reordered many groups of organisms since Linnaeus. The main categories that biologists use are listed here from the most specific to the least specific category ( Figure below ). All organisms can be classified into one of three domains , the least specific grouping. The three domains are Bacteria, Archaea, and Eukarya. The Kingdom is the next category after the Domain. All life is divided among six kingdoms: Kingdom Bacteria, Kingdom Archaea, Kingdom Protista, Kingdom Plantae, Kingdom Fungi, and Kingdom Animalia.	domains	All organisms can be classified into one of three of this least specific grouping?	aspects	phlylum	species				
4	answer_given	Modern taxonomists have reordered many groups of organisms since Linnaeus. The main categories that biologists use are listed here from the most specific to the least specific category ( Figure below ). All organisms can be classified into one of three domains , the least specific grouping. The three domains are Bacteria, Archaea, and Eukarya. The Kingdom is the next category after the Domain. All life is divided among six kingdoms: Kingdom Bacteria, Kingdom Archaea, Kingdom Protista, Kingdom Plantae, Kingdom Fungi, and Kingdom Animalia.	domains	Modern taxonomists have reordered many groups of organisms since linnaeus. the main categories that biologists use are listed here from the most specific to the least specific category ( figure below ). all organisms can be classified into one of three what?	groups	types	levels		2	3	3
4	no_answer	Modern taxonomists have reordered many groups of organisms since Linnaeus. The main categories that biologists use are listed here from the most specific to the least specific category ( Figure below ). All organisms can be classified into one of three domains , the least specific grouping. The three domains are Bacteria, Archaea, and Eukarya. The Kingdom is the next category after the Domain. All life is divided among six kingdoms: Kingdom Bacteria, Kingdom Archaea, Kingdom Protista, Kingdom Plantae, Kingdom Fungi, and Kingdom Animalia.	kingdom	What is the next category after the domain?	phylum	order	class		3	3	3
5	ground_truth	Figure 8.7 Bones of the Wrist and Hand The eight carpal bones form the base of the hand. These are arranged into proximal and distal rows of four bones each. The metacarpal bones form the palm of the hand. The thumb and fingers consist of the phalanx bones.	hand	Carpal, metacarpal and phalanx bones comprise what part of the body?	thumb	pelvis	foot				
5	answer_given	Figure 8.7 Bones of the Wrist and Hand The eight carpal bones form the base of the hand. These are arranged into proximal and distal rows of four bones each. The metacarpal bones form the palm of the hand. The thumb and fingers consist of the phalanx bones.	hand	The eight carpal bones form the base of what?	foot	finger	leg		3	3	3
5	no_answer	Figure 8.7 Bones of the Wrist and Hand The eight carpal bones form the base of the hand. These are arranged into proximal and distal rows of four bones each. The metacarpal bones form the palm of the hand. The thumb and fingers consist of the phalanx bones.	eight	How many carpal bones are there?	four	ten	six		3	3	3
6	ground_truth	Many species of insects have evolved complex social behaviors. They live together in large, organized colonies (see Figure below ). This is true of ants, termites, bees, and wasps. Colonies may include millions of individual insects. Colony members divide up the labor of the colony. Different insects are specialized for different jobs. Some reproduce, while others care for the young. Still others get food or defend the nest.	colony	Ants, termites, bees, and wasps live in what type of social structure that may include millions of individual insects?	family	habitat	community				
6	answer_given	Many species of insects have evolved complex social behaviors. They live together in large, organized colonies (see Figure below ). This is true of ants, termites, bees, and wasps. Colonies may include millions of individual insects. Colony members divide up the labor of the colony. Different insects are specialized for different jobs. Some reproduce, while others care for the young. Still others get food or defend the nest.	colony	What do you call a group of insects that live together in large organized groups?	community	herd	flock		3	3	3
6	no_answer	Many species of insects have evolved complex social behaviors. They live together in large, organized colonies (see Figure below ). This is true of ants, termites, bees, and wasps. Colonies may include millions of individual insects. Colony members divide up the labor of the colony. Different insects are specialized for different jobs. Some reproduce, while others care for the young. Still others get food or defend the nest.	social behaviors	Many species of insects have evolved complex what?	sexual behaviors	physical behaviors	natural behaviors		2	3	2
7	ground_truth	The Sun gives off energy in tiny packets called photons . Photons travel in waves. These waves make up electromagnetic radiation . The image below models a wave of light ( Figure below ). Notice the wavelength in the figure. Waves with shorter wavelengths have more energy.	photons	The sun gives off energy in tiny packets called what?	ions	electrons	atoms				
7	answer_given	The Sun gives off energy in tiny packets called photons . Photons travel in waves. These waves make up electromagnetic radiation . The image below models a wave of light ( Figure below ). Notice the wavelength in the figure. Waves with shorter wavelengths have more energy.	photons	What do you call the energy that the sun gives off in tiny packets?	particles	ions	electrons		3	3	3
7	no_answer	The Sun gives off energy in tiny packets called photons . Photons travel in waves. These waves make up electromagnetic radiation . The image below models a wave of light ( Figure below ). Notice the wavelength in the figure. Waves with shorter wavelengths have more energy.	photons	What do you call the energy that the sun gives off in tiny packets?	particles	ions	electrons		3	3	3
8	ground_truth	The strength of a base depends on the concentration of hydroxide ions it produces when dissolved in water. For example, sodium hydroxide completely breaks down into ions in water, so it is a strong base. However, only a fraction of ammonia breaks down into ions, so it is a weak base.	hydroxide ions	The strength of a base depends on the concentration of _______ it produces when dissolved in water?	combustion ions	calcium ions	monoxide ions				
8	answer_given	The strength of a base depends on the concentration of hydroxide ions it produces when dissolved in water. For example, sodium hydroxide completely breaks down into ions in water, so it is a strong base. However, only a fraction of ammonia breaks down into ions, so it is a weak base.	hydroxide ions	The strength of a base depends on the concentration of what ions it produces when dissolved in water?	chloride ions	chloride ions	chloride ions		3	3	2
8	no_answer	The strength of a base depends on the concentration of hydroxide ions it produces when dissolved in water. For example, sodium hydroxide completely breaks down into ions in water, so it is a strong base. However, only a fraction of ammonia breaks down into ions, so it is a weak base.	concentration of hydroxide ions	What determines the strength of a base?	concentration of hydrogen ions	concentration of carbon ions	concentration of oxygen ions		3	3	3
9	ground_truth	Figure 45.9 When resources are unlimited, populations exhibit exponential growth, resulting in a J-shaped curve. When resources are limited, populations exhibit logistic growth. In logistic growth, population expansion decreases as resources become scarce, and it levels off when the carrying capacity of the environment is reached, resulting in an S-shaped curve.	logistic growth	When resources are limited, populations exhibit what type of growth?	efficient growth	component growth	lasting growth				
9	answer_given	Figure 45.9 When resources are unlimited, populations exhibit exponential growth, resulting in a J-shaped curve. When resources are limited, populations exhibit logistic growth. In logistic growth, population expansion decreases as resources become scarce, and it levels off when the carrying capacity of the environment is reached, resulting in an S-shaped curve.	logistic growth	When resources are limited, populations exhibit what kind of growth?	exponential growth	linear growth	natural growth		3	3	3
9	no_answer	Figure 45.9 When resources are unlimited, populations exhibit exponential growth, resulting in a J-shaped curve. When resources are limited, populations exhibit logistic growth. In logistic growth, population expansion decreases as resources become scarce, and it levels off when the carrying capacity of the environment is reached, resulting in an S-shaped curve.	exponential growth	When resources are unlimited, populations exhibit what kind of growth?	linear growth	exponential decay	logistic growth		3	3	3
10	ground_truth	Cell division occurs not only as organisms grow. It also occurs when they reproduce.	cell division	What occurs not only as organisms grow, but as they reproduce.	proteins division	experimental division	flight division				
10	answer_given	Cell division occurs not only as organisms grow. It also occurs when they reproduce.	cell division	What occurs not only as organisms grow, but also when they reproduce?	cell mutation	cell migration	cell absorption		3	3	3
10	no_answer	Cell division occurs not only as organisms grow. It also occurs when they reproduce.	cell division	What occurs not only as organisms grow, but also when they reproduce?	cell mutation	cell migration	cell absorption		3	3	3
11	ground_truth	What do you see when you look at this picture? Is it just a mass of tangled ribbons? Look closely. It’s actually a complex pattern of three-dimensional shapes. It represents the structure of a common chemical found inside living cells. The chemical is a protein called hemoglobin. It is the protein in red blood cells which transports oxygen around the body.	hemoglobin	What is the protein in red blood cells which transports oxygen around the body?	plasma	hydrogen	hematocrit				
11	answer_given	What do you see when you look at this picture? Is it just a mass of tangled ribbons? Look closely. It’s actually a complex pattern of three-dimensional shapes. It represents the structure of a common chemical found inside living cells. The chemical is a protein called hemoglobin. It is the protein in red blood cells which transports oxygen around the body.	hemoglobin	What is the protein in red blood cells which transports oxygen around the body?	albumin	collagen	cholesterol		3	3	3
11	no_answer	What do you see when you look at this picture? Is it just a mass of tangled ribbons? Look closely. It’s actually a complex pattern of three-dimensional shapes. It represents the structure of a common chemical found inside living cells. The chemical is a protein called hemoglobin. It is the protein in red blood cells which transports oxygen around the body.	hemoglobin	What is the protein in red blood cells which transports oxygen around the body?	albumin	collagen	cholesterol		3	3	3
13	ground_truth	A solution forms when one substance dissolves in another. The substance that dissolves is called the solute. The substance that dissolves it is called the solvent.	a solution	What forms when one substances dissolves in another?	a transition	concentrate	complex
13	answer_given	A solution forms when one substance dissolves in another. The substance that dissolves is called the solute. The substance that dissolves it is called the solvent.	a solution	What forms when one substance dissolves in another?	a mixture	a reaction	a compound		3	3	3
13	no_answer	A solution forms when one substance dissolves in another. The substance that dissolves is called the solute. The substance that dissolves it is called the solvent.	solvent	What is the substance that dissolves another called?	mixture	solution	catalyst		3	3	2
14	ground_truth	3. Metamorphic rocks form when an existing rock is changed by heat or pressure. The minerals in the rock change but do not melt ( Figure below ). The rock experiences these changes within the Earth.	metamorphic	What type of rocks form when an existing rock is changed by heat or pressure?	Molten	igneous	sediments				
14	answer_given	3. Metamorphic rocks form when an existing rock is changed by heat or pressure. The minerals in the rock change but do not melt ( Figure below ). The rock experiences these changes within the Earth.	metamorphic	What type of rocks form when an existing rock is changed by heat or pressure?	sedimentary	igneous	crystalline		3	3	3
14	no_answer	3. Metamorphic rocks form when an existing rock is changed by heat or pressure. The minerals in the rock change but do not melt ( Figure below ). The rock experiences these changes within the Earth.	metamorphic	What type of rocks form when an existing rock is changed by heat or pressure?	sedimentary	igneous	crystalline		3	3	3
15	ground_truth	CHAPTER SUMMARY 12.1 Mendel’s Experiments and the Laws of Probability Working with garden pea plants, Mendel found that crosses between parents that differed by one trait produced F1 offspring that all expressed the traits of one parent. Observable traits are referred to as dominant, and non-expressed traits are described as recessive. When the offspring in Mendel’s experiment were self-crossed, the F2 offspring exhibited the dominant trait or the recessive trait in a 3:1 ratio, confirming that the recessive trait had been transmitted faithfully from the original P0 parent. Reciprocal crosses generated identical F1 and F2 offspring ratios. By examining sample sizes, Mendel showed that his crosses behaved reproducibly according to the laws of probability, and that the traits were inherited as independent events. Two rules in probability can be used to find the expected proportions of offspring of different traits from different crosses. To find the probability of two or more independent events occurring together, apply the product rule and multiply the probabilities of the individual events. The use of the word “and” suggests the appropriate application of the product rule. To find the probability of two or more events occurring in combination, apply the sum rule and add their individual probabilities together. The use of the word “or” suggests the appropriate application of the sum rule.	specific gravity	The glass hydrometer is filled with air and weighted with lead at the bottom. it floats highest in the densest fluids and has been calibrated and labeled so that you can read this from it?	volume	mass	density				
15	answer_given	CHAPTER SUMMARY 12.1 Mendel’s Experiments and the Laws of Probability Working with garden pea plants, Mendel found that crosses between parents that differed by one trait produced F1 offspring that all expressed the traits of one parent. Observable traits are referred to as dominant, and non-expressed traits are described as recessive. When the offspring in Mendel’s experiment were self-crossed, the F2 offspring exhibited the dominant trait or the recessive trait in a 3:1 ratio, confirming that the recessive trait had been transmitted faithfully from the original P0 parent. Reciprocal crosses generated identical F1 and F2 offspring ratios. By examining sample sizes, Mendel showed that his crosses behaved reproducibly according to the laws of probability, and that the traits were inherited as independent events. Two rules in probability can be used to find the expected proportions of offspring of different traits from different crosses. To find the probability of two or more independent events occurring together, apply the product rule and multiply the probabilities of the individual events. The use of the word “and” suggests the appropriate application of the product rule. To find the probability of two or more events occurring in combination, apply the sum rule and add their individual probabilities together. The use of the word “or” suggests the appropriate application of the sum rule.	specific gravity	What is the density of a substance relative to water?	specific volume	specific mass	specific energy		1	3	3
15	no_answer	CHAPTER SUMMARY 12.1 Mendel’s Experiments and the Laws of Probability Working with garden pea plants, Mendel found that crosses between parents that differed by one trait produced F1 offspring that all expressed the traits of one parent. Observable traits are referred to as dominant, and non-expressed traits are described as recessive. When the offspring in Mendel’s experiment were self-crossed, the F2 offspring exhibited the dominant trait or the recessive trait in a 3:1 ratio, confirming that the recessive trait had been transmitted faithfully from the original P0 parent. Reciprocal crosses generated identical F1 and F2 offspring ratios. By examining sample sizes, Mendel showed that his crosses behaved reproducibly according to the laws of probability, and that the traits were inherited as independent events. Two rules in probability can be used to find the expected proportions of offspring of different traits from different crosses. To find the probability of two or more independent events occurring together, apply the product rule and multiply the probabilities of the individual events. The use of the word “and” suggests the appropriate application of the product rule. To find the probability of two or more events occurring in combination, apply the sum rule and add their individual probabilities together. The use of the word “or” suggests the appropriate application of the sum rule.	recessive	Mendel's experiments showed that crosses between parents that differed by one trait produced f1 offspring that all expressed the traits of one parent. observable traits are referred to as dominant, and non-expressed traits are described as what?	dominant	variable	mutant		3	3	3
16	ground_truth	The earliest placental mammals may have evolved about 110 million years ago. The ancestor of placental mammals may be the extinct genus Eomaia . Fossils of Eomaia have been found in what is now China. It was only about 10 centimeters (4 inches) long. It was a tree climber and probably ate insects and worms. Eomaia had several traits of placental mammals. Figure below shows an Eomaia fossil.	china	Where fossils of the genus eomaia found?	Japan	Egypt	India				
16	answer_given	The earliest placental mammals may have evolved about 110 million years ago. The ancestor of placental mammals may be the extinct genus Eomaia . Fossils of Eomaia have been found in what is now China. It was only about 10 centimeters (4 inches) long. It was a tree climber and probably ate insects and worms. Eomaia had several traits of placental mammals. Figure below shows an Eomaia fossil.	china	Where were fossils of the earliest placental mammals found?	Australia	Africa	Canada		3	3	3
16	no_answer	The earliest placental mammals may have evolved about 110 million years ago. The ancestor of placental mammals may be the extinct genus Eomaia . Fossils of Eomaia have been found in what is now China. It was only about 10 centimeters (4 inches) long. It was a tree climber and probably ate insects and worms. Eomaia had several traits of placental mammals. Figure below shows an Eomaia fossil.	110 million years ago	When did the earliest placental mammals evolve?	130 million years ago	120 million years ago	100 million years ago		3	3	3
18	ground_truth	The efficiency of a machine is a measure of how well it reduces friction. It is calculated as the percent of input work that becomes output work.	friction	The efficiency of a machine is a measure of how well it reduces what force?	tension	vibration	sound				
18	answer_given	The efficiency of a machine is a measure of how well it reduces friction. It is calculated as the percent of input work that becomes output work.	friction	The efficiency of a machine is a measure of how well it reduces what?	vibration	resistance	vibration		3	3	3
18	no_answer	The efficiency of a machine is a measure of how well it reduces friction. It is calculated as the percent of input work that becomes output work.	efficiency	What is the term for the percent of input work that becomes output work?	output	velocity	power		3	3	2
19	ground_truth	Friction occurs because no surface is perfectly smooth.	friction	What force occurs because no surface is perfectly smooth?	vibration	gravity	tension				
19	answer_given	Friction occurs because no surface is perfectly smooth.	friction	What occurs because no surface is perfectly smooth?	vibration	tension	resistance		3	3	3
19	no_answer	Friction occurs because no surface is perfectly smooth.	friction	What occurs because no surface is perfectly smooth?	vibration	tension	resistance		3	3	3
20	ground_truth	Sonar works on the same principle as echolocation.	sonar	What navigation technology works on the same principle as echolocation?	radar	GPS	topography				
20	answer_given	Sonar works on the same principle as echolocation.	sonar	What works on the same principle as echolocation?	telescope	telescope	telescope		3	3	1
20	no_answer	Sonar works on the same principle as echolocation.	sonar	What works on the same principle as echolocation?	telescope	telescope	telescope		3	3	1
21	ground_truth	The hypothalamus is actually part of the brain, but it also secretes hormones. Some of its hormones go directly to the pituitary gland in the endocrine system. These hypothalamus hormones tell the pituitary to either secrete or stop secreting its hormones. In this way, the hypothalamus provides a link between the nervous and endocrine systems.	hormones	The hypothalamus is actually part of the brain, but it also secretes what?	enzymes	acids	electrolytes				
21	answer_given	The hypothalamus is actually part of the brain, but it also secretes hormones. Some of its hormones go directly to the pituitary gland in the endocrine system. These hypothalamus hormones tell the pituitary to either secrete or stop secreting its hormones. In this way, the hypothalamus provides a link between the nervous and endocrine systems.	hormones	The hypothalamus is actually part of the brain, but it also secretes what?	acids	proteins	enzymes		3	3	3
21	no_answer	The hypothalamus is actually part of the brain, but it also secretes hormones. Some of its hormones go directly to the pituitary gland in the endocrine system. These hypothalamus hormones tell the pituitary to either secrete or stop secreting its hormones. In this way, the hypothalamus provides a link between the nervous and endocrine systems.	hypothalamus	What part of the brain secretes hormones?	hippocampus	cerebellum	thalamus		3	3	3
22	ground_truth	A vector is any quantity that has magnitude and direction. A scalar is any quantity that has magnitude but no direction. Displacement and velocity are vectors, whereas distance and speed are scalars. In one-dimensional motion, direction is specified by a plus or minus sign to signify left or right, up or down, and the like.	direction	A vector is any quantity that has magnitude and what?	length	longitude	latitude				
22	answer_given	A vector is any quantity that has magnitude and direction. A scalar is any quantity that has magnitude but no direction. Displacement and velocity are vectors, whereas distance and speed are scalars. In one-dimensional motion, direction is specified by a plus or minus sign to signify left or right, up or down, and the like.	direction	What is specified by a plus or minus sign to signify left or right, up or down, and the like?	velocity	speed	gravity		2	3	2
